iter	Passed	Remaining
210	5739	7861
211	5769	7837
212	5797	7811
213	5826	7787
214	5854	7760
215	5879	7730
216	5908	7705
217	5936	7679
218	5960	7648
219	5988	7621
220	6012	7590
221	6035	7558
222	6063	7531
223	6092	7507
224	6122	7483
225	6146	7452
226	6173	7424
227	6204	7402
228	6230	7373
229	6259	7348
230	6284	7318
231	6312	7291
232	6347	7273
233	6378	7250
234	6404	7222
235	6429	7192
236	6458	7166
237	6480	7133
238	6507	7106
239	6536	7081
240	6563	7053
241	6594	7030
242	6621	7003
243	6651	6978
244	6678	6951
245	6703	6921
246	6727	6891
247	6755	6864
248	6781	6836
249	6809	6809
250	6838	6783
251	6862	6753
252	6886	6723
253	6913	6695
254	6938	6666
255	6965	6638
256	6992	6611
257	7016	6581
258	7042	6553
259	7069	6525
260	7098	6500
261	7123	6471
262	7152	6445
263	7199	6435
264	7242	6422
265	7273	6398
266	7307	6376
267	7337	6351
268	7377	6334
269	7411	6313
270	7446	6292
271	7477	6267
272	7511	6246
273	7541	6220
274	7575	6198
275	7607	6173
276	7639	6150
277	7667	6122
278	7701	6100
279	7728	6072
280	7754	6043
281	7784	6017
282	7813	5990
283	7847	5968
284	7880	5945
285	7912	5920
286	7945	5896
287	7972	5868
288	8003	5843
289	8036	5819
290	8071	5796
291	8102	5771
292	8135	5747
293	8167	5722
294	8195	5695
295	8222	5666
296	8250	5638
297	8274	5608
298	8301	5580
299	8330	5553
300	8364	5530
301	8393	5503
302	8428	5479
303	8461	5455
304	8490	5428
305	8518	5400
306	8547	5373
307	8578	5347
308	8603	5317
309	8627	5287
310	8657	5261
311	8684	5233
312	8712	5205
313	8742	5178
314	8773	5152
315	8803	5126
316	8831	5098
317	8859	5070
318	8888	5043
319	8914	5014
320	8943	4987
321	8970	4958
322	8994	4928
323	9022	4900
324	9055	4876
325	9087	4850
326	9119	4824
327	9147	4796
328	9176	4769
329	9204	4741
330	9232	4713
331	9258	4685
332	9287	4657
333	9313	4628
334	9343	4601
335	9368	4572
336	9392	4543
337	9422	4516
338	9454	4490
339	9486	4464
340	9514	4436
341	9543	4408
342	9575	4383
343	9605	4355
344	9634	4328
345	9661	4300
346	9685	4270
347	9712	4242
348	9742	4215
349	9782	4192
350	9828	4172
351	9866	4148
352	9906	4125
353	9950	4103
354	9991	4080
355	10032	4058
356	10071	4034
357	10108	4009
358	10148	3985
359	10178	3958
360	10210	3931
361	10237	3902
362	10264	3874
363	10287	3843
364	10314	3815
365	10342	3786
366	10371	3758
367	10397	3729
368	10425	3701
369	10457	3674
370	10487	3646
371	10520	3620
372	10548	3591
373	10579	3564
374	10605	3535
375	10633	3506
376	10665	3479
377	10707	3455
378	10751	3432
379	10785	3406
380	10820	3379
381	10855	3353
382	10901	3330
383	10932	3302
384	10962	3274
385	10989	3245
386	11017	3216
387	11042	3187
388	11070	3158
389	11096	3129
390	11123	3101
391	11152	3072
392	11179	3043
393	11209	3015
394	11238	2987
395	11262	2957
396	11289	2928
397	11315	2900
398	11344	2871
399	11370	2842
400	11400	2814
401	11426	2785
402	11447	2755
403	11472	2726
404	11498	2697
405	11530	2669
406	11566	2642
407	11593	2614
408	11621	2585
409	11649	2557
410	11677	2528
411	11706	2500
412	11733	2471
413	11768	2444
414	11799	2416
415	11825	2387
416	11851	2358
417	11882	2331
418	11915	2303
419	11941	2274
420	11968	2245
421	11999	2217
422	12026	2189
423	12053	2160
424	12082	2132
425	12111	2103
426	12139	2075
427	12168	2046
428	12195	2018
429	12223	1989
430	12250	1961
431	12283	1933
432	12312	1905
433	12341	1876
434	12372	1848
435	12401	1820
436	12432	1792
437	12462	1764
438	12492	1735
439	12520	1707
440	12553	1679
441	12587	1651
442	12618	1623
443	12648	1595
444	12679	1567
445	12708	1538
446	12738	1510
447	12771	1482
448	12802	1454
449	12830	1425
450	12859	1397
451	12886	1368
452	12913	1339
453	12941	1311
454	12969	1282
455	12999	1254
456	13026	1225
457	13057	1197
458	13086	1168
459	13110	1140
460	13137	1111
461	13164	1082
462	13190	1054
463	13219	1025
464	13246	997
465	13274	968
466	13301	939
467	13329	911
468	13353	882
469	13380	854
470	13405	825
471	13432	796
472	13457	768
473	13488	739
474	13519	711
475	13550	683
476	13582	654
477	13623	627
478	13653	598
479	13678	569
480	13707	541
481	13737	513
482	13769	484
483	13796	456
484	13830	427
485	13857	399
486	13884	370
487	13908	342
488	13937	313
489	13964	284
490	13992	256
491	14022	228
492	14050	199
493	14079	171
494	14109	142
495	14141	114
496	14176	85
497	14206	57
498	14234	28
499	14267	0
